DATETIME,VOLUME,OPEN,CLOSE,MIN,MAX
04-11-2010 00:48:01,140,1.0023,1.0022,1.0019,1.0026
04-11-2010 00:49:01,182,1.0024,1.0022,1.0017,1.0024
04-11-2010 00:50:01,198,1.0022,1.0023,1.0018,1.0025
04-11-2010 00:51:01,270,1.0022,1.0024,1.0019,1.0027
04-11-2010 00:52:01,240,1.0024,1.0025,1.0019,1.0027
04-11-2010 00:53:01,256,1.0025,1.0024,1.0021,1.0029
04-11-2010 00:54:01,200,1.0025,1.0024,1.002,1.0027
04-11-2010 00:55:01,181,1.0023,1.0024,1.0019,1.0025
04-11-2010 00:56:01,209,1.0024,1.0026,1.0019,1.0028
04-11-2010 00:57:01,170,1.0027,1.0031,1.002,1.0032
04-11-2010 00:58:01,150,1.003,1.003,1.0021,1.0033
04-11-2010 00:59:01,488,1.0029,1.0026,1.0022,1.0031
04-11-2010 01:00:01,312,1.0026,1.0028,1.0021,1.0031
04-11-2010 01:01:01,291,1.0027,1.0029,1.0024,1.0033
04-11-2010 01:02:01,229,1.0028,1.0031,1.0025,1.0033
04-11-2010 01:03:01,222,1.003,1.003,1.0025,1.0033
04-11-2010 01:04:01,245,1.0031,1.0031,1.0027,1.0033
04-11-2010 01:05:01,245,1.003,1.0029,1.0024,1.0032
04-11-2010 01:06:01,143,1.0029,1.0028,1.0024,1.0031
04-11-2010 01:07:01,185,1.0028,1.0029,1.0024,1.0032
04-11-2010 01:08:01,147,1.003,1.0033,1.0026,1.0035
04-11-2010 01:09:01,137,1.0031,1.0033,1.0028,1.0035
04-11-2010 01:10:01,175,1.0033,1.003,1.0026,1.0035
04-11-2010 01:11:01,131,1.003,1.0031,1.0026,1.0034
04-11-2010 01:12:01,147,1.0031,1.0029,1.0026,1.0034
04-11-2010 01:13:01,203,1.0029,1.0027,1.0022,1.0031
04-11-2010 01:14:01,318,1.0027,1.0025,1.002,1.0032
04-11-2010 01:15:01,274,1.0025,1.0026,1.002,1.0028
04-11-2010 01:16:01,227,1.0023,1.0027,1.0021,1.0029
04-11-2010 01:17:01,267,1.0026,1.0029,1.0021,1.003
04-11-2010 01:18:01,79,1.0029,1.0025,1.0023,1.0031
04-11-2010 01:19:01,121,1.0026,1.0028,1.0025,1.0032
04-11-2010 01:20:01,307,1.003,1.0028,1.0022,1.0032
04-11-2010 01:21:01,102,1.0028,1.0027,1.0023,1.003
04-11-2010 01:22:01,141,1.0027,1.0031,1.0024,1.0033
04-11-2010 01:23:01,148,1.003,1.0028,1.0026,1.0032
04-11-2010 01:24:01,99,1.0028,1.0029,1.0023,1.0031
04-11-2010 01:25:01,182,1.003,1.0033,1.0025,1.0033
04-11-2010 01:26:01,189,1.0032,1.0033,1.0027,1.0035
04-11-2010 01:27:01,154,1.0032,1.0033,1.0027,1.0034
04-11-2010 01:28:01,133,1.0032,1.0031,1.0028,1.0035
04-11-2010 01:29:01,85,1.0033,1.0033,1.0031,1.0035
04-11-2010 01:30:01,148,1.0032,1.0032,1.0029,1.0035
04-11-2010 01:31:01,347,1.0032,1.0038,1.0031,1.004
04-11-2010 01:32:01,278,1.0038,1.0037,1.0032,1.004
04-11-2010 01:33:01,140,1.0037,1.0038,1.0033,1.004
04-11-2010 01:34:01,142,1.0036,1.0036,1.0033,1.004
04-11-2010 01:35:01,121,1.0036,1.0036,1.0032,1.0039
04-11-2010 01:36:01,109,1.0036,1.0037,1.0034,1.0039
04-11-2010 01:37:01,129,1.0036,1.0036,1.0033,1.0039
04-11-2010 01:38:01,154,1.0036,1.0036,1.0032,1.0038
04-11-2010 01:39:01,227,1.0035,1.0037,1.0032,1.0039
04-11-2010 01:40:01,241,1.0037,1.0038,1.0033,1.004
04-11-2010 01:41:01,321,1.0038,1.0042,1.0034,1.0044
04-11-2010 01:42:01,265,1.0042,1.0042,1.0034,1.0044
04-11-2010 01:43:01,235,1.0042,1.0042,1.0037,1.0045
04-11-2010 01:44:01,317,1.0042,1.0042,1.0038,1.0045
04-11-2010 01:45:01,211,1.0041,1.0037,1.0036,1.0043
