"2009-04-12","United States","32","114","26"
"2009-04-12","Vietnam","1","2","0"
"2009-04-13","Canada","3","6","3"
"2009-04-13","Czech Republic","11","56","3"
"2009-04-13","France","1","2","1"
"2009-04-13","Germany","1","14","1"
"2009-04-13","India","6","48","6"
"2009-04-13","Macedonia [FYROM]","1","2","1"
"2009-04-13","Mexico","1","2","1"
"2009-04-13","Portugal","1","8","1"
"2009-04-13","Singapore","1","8","1"
"2009-04-13","Slovakia","3","6","0"
"2009-04-13","Spain","1","4","1"
"2009-04-13","United Kingdom","3","6","2"
"2009-04-13","United States","70","362","55"
"2009-04-13","Vietnam","1","2","0"
"2009-04-14","Australia","3","20","3"
"2009-04-14","Austria","1","16","1"
"2009-04-14","Canada","3","14","2"
"2009-04-14","Czech Republic","47","238","28"
"2009-04-14","France","4","49","3"
"2009-04-14","Germany","1","2","1"
"2009-04-14","India","1","2","1"
"2009-04-14","New Zealand","2","4","0"
"2009-04-14","Romania","1","2","1"
"2009-04-14","Slovakia","6","14","1"
"2009-04-14","Slovenia","1","4","1"
"2009-04-14","United Kingdom","3","19","1"
"2009-04-14","United States","62","319","36"
"2009-04-15","Czech Republic","26","136","11"
"2009-04-15","France","1","2","1"
"2009-04-15","Germany","5","48","3"
"2009-04-15","New Zealand","3","24","3"
"2009-04-15","Slovakia","4","16","2"
"2009-04-15","United Kingdom","5","28","5"
"2009-04-15","United States","80","640","54"
"2009-04-16","Canada","5","48","3"
"2009-04-16","Croatia","1","6","1"
"2009-04-16","Czech Republic","23","132","8"
"2009-04-16","France","4","14","3"
"2009-04-16","Germany","4","24","1"
"2009-04-16","New Zealand","2","10","2"
"2009-04-16","Slovakia","2","4","0"
"2009-04-16","United States","63","462","32"
"2009-04-16","Vietnam","1","2","0"
"2009-04-17","Australia","1","2","1"
"2009-04-17","Canada","2","10","2"
"2009-04-17","Czech Republic","24","118","5"
"2009-04-17","France","2","10","1"
"2009-04-17","Germany","2","4","1"
"2009-04-17","India","4","8","3"
"2009-04-17","Israel","1","2","1"
"2009-04-17","Poland","1","2","0"
"2009-04-17","Slovakia","5","8","2"
"2009-04-17","South Africa","1","2","1"
"2009-04-17","Thailand","1","8","1"
"2009-04-17","United Kingdom","1","2","1"
"2009-04-17","United States","33","226","14"
"2009-04-17","Vietnam","1","2","1"
"2009-04-18","Canada","1","2","0"
"2009-04-18","China","1","2","1"
"2009-04-18","Czech Republic","6","34","4"
"2009-04-18","France","1","2","0"
"2009-04-18","India","2","16","2"
"2009-04-18","Poland","2","6","0"
"2009-04-18","Slovakia","2","4","0"
"2009-04-18","Slovenia","1","2","1"
"2009-04-18","United States","16","131","7"
"2009-04-18","Vietnam","1","2","1"
"2009-04-19","Argentina","1","11","1"
"2009-04-19","Australia","4","4","4"
"2009-04-19","Brazil","2","24","2"
"2009-04-19","Canada","1","2","1"
"2009-04-19","Czech Republic","16","60","3"
"2009-04-19","Malaysia","2","6","2"
"2009-04-19","New Zealand","3","9","3"
"2009-04-19","Puerto Rico","1","2","1"
"2009-04-19","Slovakia","6","9","2"
"2009-04-19","United Kingdom","1","2","1"
"2009-04-19","United States","22","242","11"
"2009-04-19","Vietnam","1","2","0"
"2009-04-20","Canada","3","14","1"
"2009-04-20","Czech Republic","34","144","14"
"2009-04-20","Estonia","1","12","1"
"2009-04-20","France","1","4","0"
"2009-04-20","Germany","1","2","1"
"2009-04-20","India","2","12","2"
"2009-04-20","Italy","2","29","2"
"2009-04-20","Netherlands","1","6","1"
"2009-04-20","New Zealand","2","8","1"
"2009-04-20","Paraguay","1","4","1"
"2009-04-20","Russia","1","2","1"
"2009-04-20","Singapore","1","2","1"
"2009-04-20","United States","57","416","35"
"2009-04-20","Vietnam","1","6","1"
"2009-04-21","Australia","1","4","1"
"2009-04-21","Brazil","1","4","1"
"2009-04-21","Czech Republic","28","150","5"
"2009-04-21","France","1","12","0"
"2009-04-21","Germany","1","2","1"
"2009-04-21","India","2","4","1"
"2009-04-21","Slovakia","1","2","0"
"2009-04-21","South Korea","2","8","2"
"2009-04-21","Switzerland","1","4","0"
"2009-04-21","United Kingdom","2","18","2"
"2009-04-21","United States","46","322","23"
"2009-04-21","Vietnam","1","2","0"
"2009-04-22","Canada","1","2","0"
"2009-04-22","Czech Republic","55","441","24"
"2009-04-22","Estonia","1","2","0"
"2009-04-22","Germany","3","22","2"
"2009-04-22","India","2","8","1"
"2009-04-22","Indonesia","1","10","1"
"2009-04-22","New Zealand","2","10","1"
"2009-04-22","Norway","1","2","1"
"2009-04-22","Slovakia","1","2","0"
"2009-04-22","Spain","1","4","1"
"2009-04-22","Turkey","1","4","1"
"2009-04-22","United Kingdom","5","24","2"
"2009-04-22","United States","58","379","30"
"2009-04-22","Vietnam","1","2","0"
"2009-04-23","Argentina","2","6","2"
"2009-04-23","Australia","49","246","44"
"2009-04-23","Austria","2","22","2"
"2009-04-23","Belgium","1","2","1"
"2009-04-23","Belize","1","10","1"
"2009-04-23","Brazil","12","50","11"
"2009-04-23","Bulgaria","3","24","3"
"2009-04-23","Cambodia","1","2","1"
"2009-04-23","Canada","53","314","51"
"2009-04-23","Chile","1","18","1"
"2009-04-23","China","14","55","12"
"2009-04-23","Colombia","2","8","2"
"2009-04-23","Costa Rica","1","2","1"
"2009-04-23","Czech Republic","56","378","19"
"2009-04-23","Denmark","1","8","1"
"2009-04-23","Estonia","1","24","1"
"2009-04-23","France","9","54","8"
"2009-04-23","Germany","23","137","21"
"2009-04-23","Ghana","1","8","1"
"2009-04-23","Greece","1","2","1"
"2009-04-23","Hong Kong","5","28","5"
"2009-04-23","Hungary","1","10","1"
"2009-04-23","Iceland","1","2","1"
"2009-04-23","India","38","237","36"
"2009-04-23","Indonesia","1","4","1"
"2009-04-23","Ireland","4","38","4"
"2009-04-23","Israel","10","34","9"
"2009-04-23","Italy","1","9","1"
"2009-04-23","Japan","4","24","4"
"2009-04-23","Kyrgyzstan","1","4","1"
"2009-04-23","Latvia","1","4","1"
"2009-04-23","Lithuania","2","4","2"
"2009-04-23","Luxembourg","1","4","1"
"2009-04-23","Macedonia [FYROM]","1","4","1"
"2009-04-23","Malaysia","5","32","5"
"2009-04-23","Mexico","7","44","7"
"2009-04-23","Monaco","1","14","1"
"2009-04-23","Nepal","1","4","1"
"2009-04-23","Netherlands","10","82","10"
"2009-04-23","New Zealand","13","68","11"
"2009-04-23","Norway","1","4","1"
"2009-04-23","Pakistan","1","2","1"
"2009-04-23","Philippines","3","18","3"
"2009-04-23","Poland","6","26","6"
"2009-04-23","Portugal","4","37","4"
"2009-04-23","Puerto Rico","1","4","1"
"2009-04-23","Romania","10","43","10"
"2009-04-23","Russia","4","10","4"
"2009-04-23","Saint Kitts and Nevis","1","2","1"
"2009-04-23","Singapore","17","68","14"
"2009-04-23","Slovakia","9","19","3"
"2009-04-23","Slovenia","1","10","1"
"2009-04-23","South Africa","2","6","2"
"2009-04-23","South Korea","3","30","3"
"2009-04-23","Spain","4","24","4"
"2009-04-23","Sri Lanka","1","10","1"
"2009-04-23","Sweden","6","28","6"
"2009-04-23","Switzerland","8","34","8"
"2009-04-23","Taiwan","2","4","2"
"2009-04-23","Thailand","5","17","5"
"2009-04-23","Turkey","4","23","4"
"2009-04-23","Ukraine","2","4","1"
"2009-04-23","United Kingdom","23","101","23"
"2009-04-23","United States","778","5419","716"
"2009-04-23","Venezuela","2","22","2"
"2009-04-23","Vietnam","2","6","2"
"2009-04-23","Åland Islands","1","2","1"
"2009-04-24","Argentina","10","30","7"
"2009-04-24","Australia","22","141","20"
"2009-04-24","Austria","12","32","10"
"2009-04-24","Belarus","1","8","1"
"2009-04-24","Belgium","28","196","22"
"2009-04-24","Bosnia and Herzegovina","1","16","1"
"2009-04-24","Brazil","25","101","19"
"2009-04-24","Bulgaria","8","52","8"
"2009-04-24","Cambodia","1","2","0"
"2009-04-24","Cameroon","1","2","1"
"2009-04-24","Canada","96","556","79"
"2009-04-24","China","16","55","15"
"2009-04-24","Colombia","3","6","0"
"2009-04-24","Costa Rica","1","4","1"
"2009-04-24","Croatia","7","30","7"
"2009-04-24","Cyprus","2","6","2"
"2009-04-24","Czech Republic","182","937","112"
"2009-04-24","Denmark","21","114","19"
"2009-04-24","Egypt","3","14","1"
"2009-04-24","Estonia","6","50","5"
"2009-04-24","Finland","17","66","13"
"2009-04-24","France","70","349","65"
"2009-04-24","Germany","151","835","135"
"2009-04-24","Ghana","2","6","1"
"2009-04-24","Greece","11","35","9"
"2009-04-24","Honduras","1","2","1"
"2009-04-24","Hong Kong","17","108","16"
"2009-04-24","Hungary","11","31","9"
"2009-04-24","Iceland","2","4","2"
"2009-04-24","India","140","780","123"
"2009-04-24","Indonesia","3","12","3"
"2009-04-24","Iran","3","6","2"
"2009-04-24","Ireland","18","91","18"
"2009-04-24","Israel","26","95","25"
"2009-04-24","Italy","42","209","35"
"2009-04-24","Japan","38","127","35"
"2009-04-24","Kenya","2","10","2"
"2009-04-24","Kuwait","2","6","2"
"2009-04-24","Latvia","4","14","3"
"2009-04-24","Lithuania","5","22","5"
"2009-04-24","Luxembourg","3","32","1"
"2009-04-24","Macedonia [FYROM]","2","10","2"
"2009-04-24","Malaysia","6","21","6"
"2009-04-24","Mexico","6","21","3"
"2009-04-24","Moldova","2","18","2"
"2009-04-24","Monaco","1","2","1"
"2009-04-24","Morocco","2","14","2"
"2009-04-24","Netherlands","57","299","51"
"2009-04-24","New Zealand","13","56","12"
"2009-04-24","Norway","15","80","14"
"2009-04-24","Pakistan","10","44","8"
"2009-04-24","Panama","2","6","2"
"2009-04-24","Peru","1","2","1"
"2009-04-24","Philippines","10","29","7"
"2009-04-24","Poland","375","1544","353"
"2009-04-24","Portugal","9","32","9"
"2009-04-24","Qatar","1","2","1"
"2009-04-24","Romania","16","90","16"
"2009-04-24","Russia","26","122","25"
"2009-04-24","Saudi Arabia","1","22","1"
"2009-04-24","Serbia","6","18","6"
"2009-04-24","Singapore","14","59","11"
"2009-04-24","Slovakia","68","340","66"
"2009-04-24","Slovenia","19","121","14"
"2009-04-24","South Africa","14","58","11"
"2009-04-24","South Korea","4","18","4"
"2009-04-24","Spain","42","184","37"
"2009-04-24","Sweden","12","82","10"
"2009-04-24","Switzerland","45","222","40"
"2009-04-24","Taiwan","3","44","2"
"2009-04-24","Thailand","3","10","2"
"2009-04-24","Tunisia","1","4","1"
"2009-04-24","Turkey","6","18","6"
"2009-04-24","Ukraine","11","46","10"
"2009-04-24","United Arab Emirates","3","16","2"
"2009-04-24","United Kingdom","228","1342","207"
"2009-04-24","United States","1185","8282","1001"
"2009-04-24","Uruguay","4","12","4"
"2009-04-24","Venezuela","7","24","4"
"2009-04-25","Argentina","2","4","1"
"2009-04-25","Australia","9","30","6"
"2009-04-25","Austria","3","12","2"
"2009-04-25","Bosnia and Herzegovina","1","2","1"
"2009-04-25","Brazil","4","11","3"
"2009-04-25","Canada","14","86","13"
"2009-04-25","China","5","14","2"
"2009-04-25","Colombia","3","6","0"
"2009-04-25","Czech Republic","86","412","71"
"2009-04-25","Denmark","2","26","2"
"2009-04-25","Egypt","2","4","1"
"2009-04-25","Estonia","3","18","2"
"2009-04-25","Finland","5","10","3"
"2009-04-25","France","8","38","7"
"2009-04-25","Georgia","1","2","1"
"2009-04-25","Germany","12","132","11"
"2009-04-25","Greece","2","9","1"
"2009-04-25","Hungary","7","16","5"
"2009-04-25","India","18","78","12"
"2009-04-25","Indonesia","2","7","1"
"2009-04-25","Ireland","3","18","3"
"2009-04-25","Israel","12","69","10"
"2009-04-25","Italy","3","28","3"
"2009-04-25","Japan","16","63","15"
"2009-04-25","Luxembourg","1","14","1"
"2009-04-25","Mexico","1","2","1"
"2009-04-25","Netherlands","4","10","3"
"2009-04-25","New Zealand","1","2","0"
"2009-04-25","Norway","2","6","2"
"2009-04-25","Philippines","4","8","0"
"2009-04-25","Poland","126","626","115"
"2009-04-25","Portugal","1","4","1"
"2009-04-25","Romania","2","12","1"
"2009-04-25","Singapore","3","24","2"
"2009-04-25","Slovakia","35","205","28"
"2009-04-25","South Africa","2","4","2"
"2009-04-25","Spain","6","20","5"
"2009-04-25","Sweden","1","2","1"
"2009-04-25","Switzerland","5","14","1"
"2009-04-25","Turkey","3","7","3"
"2009-04-25","Ukraine","3","8","3"
"2009-04-25","United Arab Emirates","4","12","3"
"2009-04-25","United Kingdom","33","183","27"
"2009-04-25","United States","193","1312","123"
"2009-04-26","Argentina","1","2","1"
"2009-04-26","Australia","18","92","10"
"2009-04-26","Austria","2","16","2"
"2009-04-26","Belgium","4","12","3"
"2009-04-26","Brazil","6","60","4"
"2009-04-26","Canada","10","79","6"
"2009-04-26","Chile","2","4","1"
"2009-04-26","China","2","4","0"
"2009-04-26","Colombia","2","4","0"
"2009-04-26","Czech Republic","165","871","128"
"2009-04-26","Denmark","1","4","0"
"2009-04-26","Egypt","1","2","0"
"2009-04-26","Estonia","1","8","0"
"2009-04-26","Finland","6","12","2"
"2009-04-26","France","3","10","3"
"2009-04-26","Germany","5","10","2"
"2009-04-26","Greece","1","2","1"
"2009-04-26","Hong Kong","1","4","0"
"2009-04-26","Hungary","1","4","1"
"2009-04-26","India","14","57","13"
"2009-04-26","Ireland","2","6","2"
"2009-04-26","Israel","6","46","6"
"2009-04-26","Italy","5","24","3"
"2009-04-26","Japan","18","85","17"
"2009-04-26","Lithuania","1","2","1"
"2009-04-26","Malaysia","1","16","1"
"2009-04-26","Netherlands","4","16","4"
"2009-04-26","New Zealand","2","42","1"
"2009-04-26","Norway","1","16","1"
"2009-04-26","Pakistan","2","4","2"
"2009-04-26","Philippines","2","4","0"
"2009-04-26","Poland","105","447","84"
"2009-04-26","Portugal","2","8","1"
"2009-04-26","Romania","3","8","1"
"2009-04-26","Russia","1","10","1"
"2009-04-26","Serbia","1","4","1"
"2009-04-26","Singapore","1","14","1"
"2009-04-26","Slovakia","42","152","33"
"2009-04-26","South Africa","2","6","2"
"2009-04-26","South Korea","6","58","4"
"2009-04-26","Spain","4","17","3"
"2009-04-26","Sweden","3","18","3"
"2009-04-26","Switzerland","2","20","2"
"2009-04-26","Taiwan","1","4","1"
"2009-04-26","Thailand","1","2","1"
"2009-04-26","Turkey","2","4","1"
"2009-04-26","Uganda","1","2","1"
"2009-04-26","United Arab Emirates","1","16","1"
"2009-04-26","United Kingdom","22","117","17"
"2009-04-26","United States","141","925","97"
"2009-04-26","Vietnam","1","2","0"
"2009-04-27","Argentina","1","4","1"
"2009-04-27","Australia","11","58","7"
"2009-04-27","Austria","3","36","2"
"2009-04-27","Belgium","4","47","3"
"2009-04-27","Brazil","6","16","3"
"2009-04-27","Bulgaria","2","4","2"
"2009-04-27","Canada","31","131","11"
"2009-04-27","China","5","56","3"
"2009-04-27","Colombia","1","2","0"
"2009-04-27","Czech Republic","105","564","66"
"2009-04-27","Denmark","3","5","1"
"2009-04-27","Egypt","1","2","0"
"2009-04-27","Estonia","1","2","0"
"2009-04-27","Finland","4","19","2"
"2009-04-27","France","8","48","8"
"2009-04-27","Germany","32","123","14"
"2009-04-27","Greece","2","6","1"
"2009-04-27","Hong Kong","1","6","1"
"2009-04-27","Hungary","1","2","0"
"2009-04-27","India","13","70","9"
"2009-04-27","Ireland","4","14","4"
"2009-04-27","Israel","5","28","5"
"2009-04-27","Italy","11","54","5"
"2009-04-27","Japan","4","14","4"
"2009-04-27","Jersey","1","2","1"
"2009-04-27","Kazakhstan","1","8","1"
"2009-04-27","Lithuania","3","8","3"
"2009-04-27","Malaysia","2","6","1"
"2009-04-27","Netherlands","9","54","4"
"2009-04-27","New Zealand","3","20","3"
"2009-04-27","Philippines","6","19","2"
"2009-04-27","Poland","109","601","93"
"2009-04-27","Portugal","2","4","2"
"2009-04-27","Russia","5","28","4"
"2009-04-27","Singapore","2","10","2"
"2009-04-27","Slovakia","35","122","21"
"2009-04-27","South Africa","3","8","3"
"2009-04-27","Spain","5","22","3"
"2009-04-27","Sri Lanka","1","22","1"
"2009-04-27","Sweden","4","8","3"
"2009-04-27","Switzerland","4","24","2"
"2009-04-27","Tanzania","1","2","1"
"2009-04-27","Turkey","3","6","2"
"2009-04-27","Ukraine","1","8","1"
"2009-04-27","United Arab Emirates","1","2","1"
"2009-04-27","United Kingdom","49","224","26"
"2009-04-27","United States","282","1912","176"
"2009-04-27","Venezuela","2","4","0"
"2009-04-27","Vietnam","3","6","1"
"2009-04-28","(not set)","1","2","1"
"2009-04-28","Argentina","1","4","1"
"2009-04-28","Australia","5","16","3"
"2009-04-28","Brazil","1","2","0"
"2009-04-28","Bulgaria","1","8","0"
"2009-04-28","Canada","11","70","8"
"2009-04-28","China","1","2","1"
"2009-04-28","Czech Republic","102","428","55"
"2009-04-28","Denmark","3","44","2"
"2009-04-28","Estonia","1","20","1"
"2009-04-28","Finland","2","4","0"
"2009-04-28","France","11","130","5"
"2009-04-28","Germany","37","127","9"
"2009-04-28","Greece","1","2","1"
"2009-04-28","Hong Kong","1","18","1"
"2009-04-28","Hungary","1","4","1"
"2009-04-28","India","20","139","18"
"2009-04-28","Ireland","4","59","4"
"2009-04-28","Israel","1","10","1"
"2009-04-28","Italy","11","30","2"
"2009-04-28","Japan","4","33","3"
"2009-04-28","Kenya","1","2","1"
"2009-04-28","Malaysia","1","2","0"
"2009-04-28","Mexico","2","18","2"
"2009-04-28","Netherlands","9","95","9"
"2009-04-28","New Zealand","4","16","1"
"2009-04-28","Oman","2","7","1"
"2009-04-28","Philippines","3","6","0"
"2009-04-28","Poland","55","194","38"
"2009-04-28","Portugal","3","6","2"
"2009-04-28","Romania","1","2","1"
"2009-04-28","Russia","2","10","1"
"2009-04-28","Singapore","2","26","2"
"2009-04-28","Slovakia","9","51","6"
